Table 1: Projection of the number of key workers who will be trained by UK universities over the next five years ,,,,,,,,,,,,
,,,,,,,,,,,,
,Nurses,Medics,Teachers,,,,,,,,,
,"Ageing Society, Health & Nutrition",AI & Data Economy,Clean Growth & Infrastructure,"Manufacturing, Materials & Mobility",,,,,,,,
East Midlands,10.8,2.8,36.4,50.0,,,,,,,,
East of England,15.8,4.3,20.8,59.1,,,,,,,,
London,53.3,19.2,15.2,12.3,,,,,,,,
North East,18.6,0.2,30.9,50.3,,,,,,,,
North West,33.9,8.2,12.8,45.1,,,,,,,,
Northern Ireland,31.4,12.9,2.1,53.7,,,,,,,,
Scotland,12.4,2.4,30.3,54.9,,,,,,,,
South East,7.1,31.7,28.6,32.5,,,,,,,,
South West,24.5,2.2,13.4,59.9,,,,,,,,
Wales,9.1,1.8,10.7,78.4,,,,,,,,
West Midlands,1.9,0.7,16.5,80.9,,,,,,,,
Yorkshire and The Humber,6.0,1.6,6.8,85.6,,,,,,,,
England,19.6,8.9,19.8,51.6,,,,,,,,
,,,,,,,,,,,,
Table 8: The forecast number of new companies and charities to be formed because of universities over the next five years ,,,,,,,,,,,,
,,,,,,,,,,,,
,1 year,18 months,2 years ,5 years,,,,,,,,
East Midlands, 444 , 666 , 888 ," 2,220 ",,,,,,,,
East of England, 336 , 503 , 671 ," 1,678 ",,,,,,,,
London," 1,194 "," 1,791 "," 2,388 "," 5,969 ",,,,,,,,
North East, 145 , 218 , 290 , 725 ,,,,,,,,
North West, 503 , 755 ," 1,006 "," 2,515 ",,,,,,,,
Northern Ireland, 29 , 43 , 58 , 144 ,,,,,,,,
Scotland, 202 , 303 , 404 ," 1,009 ",,,,,,,,
South East, 350 , 526 , 701 ," 1,752 ",,,,,,,,
South West, 361 , 541 , 722 ," 1,804 ",,,,,,,,
Wales, 307 , 461 , 615 ," 1,537 ",,,,,,,,
West Midlands, 265 , 398 , 531 ," 1,327 ",,,,,,,,
Yorkshire and The Humber, 205 , 308 , 411 ," 1,027 ",,,,,,,,
England," 3,803 "," 5,705 "," 7,607 "," 19,017 ",,,,,,,,
,,,,,,,,,,,,
Table 9: The forecast value to the economy of regeneration projects universities are involved in over the next five years ,,,,,,,,,,,,
,,,,,,,,,,,,
,1 year,18 months,2 years,5 years,,,,,,,,
East Midlands,"£28,770,144","£43,017,808","£56,992,157","£138,364,897",,,,,,,,
East of England,"£11,708,352","£17,331,267","£22,494,186","£49,309,000",,,,,,,,
London,"£24,061,461","£36,827,802","£51,057,326","£149,675,464",,,,,,,,
North East,"£8,500,464","£12,840,894","£17,360,731","£46,103,305",,,,,,,,
North West,"£38,821,715","£58,514,532","£78,768,187","£205,365,398",,,,,,,,
Northern Ireland,"£25,318,621","£38,404,539","£52,339,009","£143,624,756",,,,,,,,
Scotland,"£62,790,686","£96,528,893","£134,927,225","£407,488,783",,,,,,,,
South East,"£9,038,017","£13,328,443","£17,164,200","£36,064,244",,,,,,,,
South West,"£27,660,527","£41,787,710","£56,505,489","£150,156,728",,,,,,,,
Wales,"£88,684,583","£135,365,234","£186,697,050","£536,778,426",,,,,,,,
West Midlands,"£100,362,808","£151,681,109","£205,260,781","£547,202,972",,,,,,,,
Yorkshire and The Humber,"£28,266,533","£42,978,187","£58,840,294","£164,423,906",,,,,,,,
England,"£277,190,021","£418,307,751","£564,443,351","£1,486,665,914",,,,,,,,
,,,,,,,,,,,,
"Table 10: The number of students at UK universities (full-time equivalent, 2019/20) ",,,,,,,,,,,,
,,,,,,,,,,,,
East Midlands,"164,380",,,,,,,,,,,
East of England,"120,950",,,,,,,,,,,
London,"333,485",,,,,,,,,,,
North East,"96,010",,,,,,,,,,,
North West,"209,345",,,,,,,,,,,
Northern Ireland,"41,810",,,,,,,,,,,
Scotland,"207,540",,,,,,,,,,,
South East,"296,145",,,,,,,,,,,
South West,"154,390",,,,,,,,,,,
Wales,"101,580",,,,,,,,,,,
West Midlands,"180,720",,,,,,,,,,,
Yorkshire and The Humber,"176,675",,,,,,,,,,,
England,"1,732,100",,,,,,,,,,,
,,,,,,,,,,,,
"Table 11: The number of staff at UK universities (full-time equivalent, 2019/20) ",,,,,,,,,,,,
,,,,,,,,,,,,
East Midlands,"20,030",,,,,,,,,,,
East of England,"24,140",,,,,,,,,,,
London,"64,690",,,,,,,,,,,
North East,"15,950",,,,,,,,,,,
North West,"36,475",,,,,,,,,,,
Northern Ireland,"5,495",,,,,,,,,,,
Scotland,"41,255",,,,,,,,,,,
South East,"46,650",,,,,,,,,,,
South West,"25,030",,,,,,,,,,,
Wales,"17,335",,,,,,,,,,,
West Midlands,"25,030",,,,,,,,,,,
Yorkshire and The Humber,"28,910",,,,,,,,,,,
England,"286,905",,,,,,,,,,,
,,,,,,,,,,,,
Table 12: The percentage of people in employment who are employed by a university ,,,,,,,,,,,,
,,,,,,,,,,,,
East Midlands,1.01%,,,,,,,,,,,
East of England,0.89%,,,,,,,,,,,
London,1.65%,,,,,,,,,,,
North East,1.43%,,,,,,,,,,,
North West,1.19%,,,,,,,,,,,
Northern Ireland,0.68%,,,,,,,,,,,
Scotland,1.92%,,,,,,,,,,,
South East,1.23%,,,,,,,,,,,
South West,1.07%,,,,,,,,,,,
Wales,1.38%,,,,,,,,,,,
West Midlands,1.09%,,,,,,,,,,,
Yorkshire and The Humber,1.24%,,,,,,,,,,,
England,1.22%,,,,,,,,,,,
UK,1.27%,,,,,,,,,,,
,,,,,,,,,,,,
Table 13: University expenditure on staff (2018/19) ,,,,,,,,,,,,
,,,,,,,,,,,,
East Midlands,"£1,543,916,000",,,,,,,,,,,
East of England,"£2,010,132,000",,,,,,,,,,,
London,"£5,274,383,000",,,,,,,,,,,
North East,"£1,003,744,000",,,,,,,,,,,
North West,"£2,319,906,000",,,,,,,,,,,
Northern Ireland,"£463,952,000",,,,,,,,,,,
Scotland,"£2,767,732,000",,,,,,,,,,,
South East,"£3,856,978,000",,,,,,,,,,,
South West,"£1,621,372,000",,,,,,,,,,,
Wales,"£1,119,372,000",,,,,,,,,,,
West Midlands,"£1,895,964,000",,,,,,,,,,,
Yorkshire and The Humber,"£2,073,093,000",,,,,,,,,,,
England,"£21,599,488,000",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
